location	n	sample
224303	10	ERR696683_chr5
230865	11	ERR696683_chr5
230996	11	ERR696683_chr5
233402	12	ERR696683_chr5
233457	12	ERR696683_chr5
233619	12	ERR696683_chr5
256357	13	ERR696683_chr5
711356	2	ERR696683_chr5
795853	3	ERR696683_chr5
795860	3	ERR696683_chr5
1572203	6	ERR696683_chr5
5057841	16	ERR696683_chr5
5146222	4	ERR696683_chr5
5146282	4	ERR696683_chr5
5239808	3	ERR696683_chr5
5239889	3	ERR696683_chr5
5460456	1	ERR696683_chr5
5460506	1	ERR696683_chr5
5462035	1	ERR696683_chr5
6337128	2	ERR696683_chr5
6602431	10	ERR696683_chr5
6602555	10	ERR696683_chr5
6605419	8	ERR696683_chr5
6651857	4	ERR696683_chr5
6651896	4	ERR696683_chr5
6748405	6	ERR696683_chr5
6748546	6	ERR696683_chr5
7299249	4	ERR696683_chr5
7717283	2	ERR696683_chr5
7862813	11	ERR696683_chr5
7866854	23	ERR696683_chr5
7867917	23	ERR696683_chr5
10227436	7	ERR696683_chr5
10239166	7	ERR696683_chr5
10254705	22	ERR696683_chr5
10261430	14	ERR696683_chr5
10264850	12	ERR696683_chr5
10417477	8	ERR696683_chr5
10638068	3	ERR696683_chr5
10664466	1	ERR696683_chr5
10664520	1	ERR696683_chr5
11110839	8	ERR696683_chr5
13701416	3	ERR696683_chr5
13701427	3	ERR696683_chr5
13735783	2	ERR696683_chr5
13737335	2	ERR696683_chr5
13859634	4	ERR696683_chr5
13894785	4	ERR696683_chr5
14377959	6	ERR696683_chr5
14797515	4	ERR696683_chr5
14797551	4	ERR696683_chr5
16477642	19	ERR696683_chr5
16478091	20	ERR696683_chr5
16673866	5	ERR696683_chr5
16675994	5	ERR696683_chr5
16681857	5	ERR696683_chr5
16694200	5	ERR696683_chr5
16694240	5	ERR696683_chr5
16764225	3	ERR696683_chr5
16765984	3	ERR696683_chr5
16902403	7	ERR696683_chr5
16902592	7	ERR696683_chr5
19520823	7	ERR696683_chr5
19721381	8	ERR696683_chr5
20304377	6	ERR696683_chr5
21482674	11	ERR696683_chr5
21497162	9	ERR696683_chr5
21751941	6	ERR696683_chr5
21751947	6	ERR696683_chr5
21760493	6	ERR696683_chr5
21883992	6	ERR696683_chr5
22078475	6	ERR696683_chr5
23523239	3	ERR696683_chr5
31317387	3	ERR696683_chr5
31317422	3	ERR696683_chr5
31401340	6	ERR696683_chr5
31471980	9	ERR696683_chr5
31472010	9	ERR696683_chr5
31486433	6	ERR696683_chr5
31515266	5	ERR696683_chr5
31515550	5	ERR696683_chr5
31538585	9	ERR696683_chr5
31541035	8	ERR696683_chr5
31822761	4	ERR696683_chr5
31822925	4	ERR696683_chr5
31822970	4	ERR696683_chr5
32053816	3	ERR696683_chr5
32053986	3	ERR696683_chr5
32057545	6	ERR696683_chr5
32403241	2	ERR696683_chr5
32523237	2	ERR696683_chr5
32523642	3	ERR696683_chr5
32786283	7	ERR696683_chr5
33461250	8	ERR696683_chr5
33595891	3	ERR696683_chr5
33648801	3	ERR696683_chr5
33751349	4	ERR696683_chr5
33951588	4	ERR696683_chr5
33989413	10	ERR696683_chr5
33998663	7	ERR696683_chr5
33998778	7	ERR696683_chr5
34811026	18	ERR696683_chr5
34840736	11	ERR696683_chr5
34945839	14	ERR696683_chr5
34954483	13	ERR696683_chr5
35010033	5	ERR696683_chr5
35033500	4	ERR696683_chr5
35034314	4	ERR696683_chr5
35034368	4	ERR696683_chr5
35034393	4	ERR696683_chr5
35039381	5	ERR696683_chr5
35700496	8	ERR696683_chr5
35708993	9	ERR696683_chr5
35709082	9	ERR696683_chr5
35739858	4	ERR696683_chr5
35753613	4	ERR696683_chr5
35789062	9	ERR696683_chr5
35799892	6	ERR696683_chr5
35910427	5	ERR696683_chr5
36136247	2	ERR696683_chr5
36136573	2	ERR696683_chr5
36142487	2	ERR696683_chr5
36253835	3	ERR696683_chr5
36269449	4	ERR696683_chr5
36301260	4	ERR696683_chr5
36301267	4	ERR696683_chr5
36301318	4	ERR696683_chr5
36608492	42	ERR696683_chr5
36985201	4	ERR696683_chr5
37000972	6	ERR696683_chr5
37175989	7	ERR696683_chr5
37224383	5	ERR696683_chr5
37364341	4	ERR696683_chr5
37505885	5	ERR696683_chr5
37506230	6	ERR696683_chr5
37506445	7	ERR696683_chr5
37724888	10	ERR696683_chr5
38950674	4	ERR696683_chr5
38962441	6	ERR696683_chr5
39108207	8	ERR696683_chr5
39108220	8	ERR696683_chr5
39119621	6	ERR696683_chr5
39383155	6	ERR696683_chr5
40949895	7	ERR696683_chr5
40955459	7	ERR696683_chr5
40957925	7	ERR696683_chr5
40964714	9	ERR696683_chr5
40998094	7	ERR696683_chr5
40998133	7	ERR696683_chr5
40999798	7	ERR696683_chr5
41000141	7	ERR696683_chr5
41000241	7	ERR696683_chr5
41004294	7	ERR696683_chr5
41004304	7	ERR696683_chr5
41004705	7	ERR696683_chr5
41005689	6	ERR696683_chr5
41008678	6	ERR696683_chr5
41018575	6	ERR696683_chr5
41032896	4	ERR696683_chr5
41033010	4	ERR696683_chr5
41038898	4	ERR696683_chr5
41042182	4	ERR696683_chr5
41045666	5	ERR696683_chr5
41045733	5	ERR696683_chr5
41045922	5	ERR696683_chr5
41048431	5	ERR696683_chr5
41049287	5	ERR696683_chr5
41049295	5	ERR696683_chr5
41050897	5	ERR696683_chr5
41054832	5	ERR696683_chr5
41061614	4	ERR696683_chr5
41061769	4	ERR696683_chr5
41158761	6	ERR696683_chr5
41199857	7	ERR696683_chr5
41475664	2	ERR696683_chr5
42465992	6	ERR696683_chr5
42467938	6	ERR696683_chr5
43296930	7	ERR696683_chr5
43297042	7	ERR696683_chr5
43505891	5	ERR696683_chr5
50633317	1	ERR696683_chr5
50633516	1	ERR696683_chr5
50633652	1	ERR696683_chr5
50822416	8	ERR696683_chr5
52801055	9	ERR696683_chr5
52861540	7	ERR696683_chr5
53055583	6	ERR696683_chr5
53485767	5	ERR696683_chr5
53646367	6	ERR696683_chr5
53859858	1	ERR696683_chr5
54857975	2	ERR696683_chr5
55108129	3	ERR696683_chr5
55108187	3	ERR696683_chr5
55114292	4	ERR696683_chr5
55137565	5	ERR696683_chr5
55143638	5	ERR696683_chr5
55164133	13	ERR696683_chr5
55425814	5	ERR696683_chr5
55425853	5	ERR696683_chr5
55441963	5	ERR696683_chr5
55490968	4	ERR696683_chr5
55530604	7	ERR696683_chr5
55768015	14	ERR696683_chr5
55786646	9	ERR696683_chr5
55838857	1	ERR696683_chr5
55916618	6	ERR696683_chr5
56126854	4	ERR696683_chr5
56504897	2	ERR696683_chr5
56865960	2	ERR696683_chr5
56881616	2	ERR696683_chr5
56881916	2	ERR696683_chr5
56882390	2	ERR696683_chr5
56911296	12	ERR696683_chr5
56913908	12	ERR696683_chr5
56930583	6	ERR696683_chr5
56933461	8	ERR696683_chr5
58458178	16	ERR696683_chr5
58458305	16	ERR696683_chr5
58617552	2	ERR696683_chr5
58990798	13	ERR696683_chr5
58993507	13	ERR696683_chr5
59002054	14	ERR696683_chr5
59193558	15	ERR696683_chr5
60603586	4	ERR696683_chr5
60787448	7	ERR696683_chr5
61073256	7	ERR696683_chr5
61703941	41	ERR696683_chr5
62347110	18	ERR696683_chr5
62347989	17	ERR696683_chr5
62358360	18	ERR696683_chr5
62361401	16	ERR696683_chr5
62361550	16	ERR696683_chr5
62381075	16	ERR696683_chr5
62381084	16	ERR696683_chr5
62398552	18	ERR696683_chr5
62402032	20	ERR696683_chr5
64609241	2	ERR696683_chr5
64800343	22	ERR696683_chr5
64971768	15	ERR696683_chr5
65018052	12	ERR696683_chr5
65586109	12	ERR696683_chr5
65594652	3	ERR696683_chr5
65661891	12	ERR696683_chr5
65733474	5	ERR696683_chr5
65777397	6	ERR696683_chr5
65812388	6	ERR696683_chr5
66025483	25	ERR696683_chr5
67133501	4	ERR696683_chr5
67184176	2	ERR696683_chr5
67855840	3	ERR696683_chr5
68273918	12	ERR696683_chr5
68855112	8	ERR696683_chr5
68855165	8	ERR696683_chr5
69069020	1	ERR696683_chr5
69069044	1	ERR696683_chr5
69300241	6	ERR696683_chr5
69410611	19	ERR696683_chr5
71012424	8	ERR696683_chr5
71467232	2	ERR696683_chr5
71467261	2	ERR696683_chr5
71504711	3	ERR696683_chr5
71510630	3	ERR696683_chr5
71510822	3	ERR696683_chr5
71510884	3	ERR696683_chr5
71511131	3	ERR696683_chr5
71513342	3	ERR696683_chr5
71539006	5	ERR696683_chr5
71541468	5	ERR696683_chr5
71544406	4	ERR696683_chr5
71553194	3	ERR696683_chr5
71649248	37	ERR696683_chr5
71656679	35	ERR696683_chr5
71850930	1	ERR696683_chr5
71851055	1	ERR696683_chr5
71851062	1	ERR696683_chr5
72195135	5	ERR696683_chr5
72199214	4	ERR696683_chr5
72443719	2	ERR696683_chr5
72887030	10	ERR696683_chr5
72888271	8	ERR696683_chr5
72905231	10	ERR696683_chr5
73068846	3	ERR696683_chr5
73576941	5	ERR696683_chr5
73579082	5	ERR696683_chr5
73776529	6	ERR696683_chr5
73776705	6	ERR696683_chr5
73794436	7	ERR696683_chr5
73795301	6	ERR696683_chr5
73795403	6	ERR696683_chr5
73852656	8	ERR696683_chr5
73911547	8	ERR696683_chr5
74689390	5	ERR696683_chr5
74721674	16	ERR696683_chr5
74738420	8	ERR696683_chr5
74759384	6	ERR696683_chr5
74838917	7	ERR696683_chr5
74930206	3	ERR696683_chr5
74930317	3	ERR696683_chr5
74931678	3	ERR696683_chr5
74931919	3	ERR696683_chr5
75028723	4	ERR696683_chr5
75374629	26	ERR696683_chr5
75685497	6	ERR696683_chr5
75688993	7	ERR696683_chr5
75692511	8	ERR696683_chr5
75692544	8	ERR696683_chr5
75707853	13	ERR696683_chr5
75712368	13	ERR696683_chr5
76592963	4	ERR696683_chr5
76627460	14	ERR696683_chr5
76627469	14	ERR696683_chr5
76627482	14	ERR696683_chr5
76627568	14	ERR696683_chr5
76637044	10	ERR696683_chr5
76637140	10	ERR696683_chr5
76652825	8	ERR696683_chr5
76652860	8	ERR696683_chr5
76658712	8	ERR696683_chr5
76665040	9	ERR696683_chr5
76832696	3	ERR696683_chr5
76833228	3	ERR696683_chr5
77048174	1	ERR696683_chr5
77146826	31	ERR696683_chr5
77147105	24	ERR696683_chr5
77413162	6	ERR696683_chr5
77785784	3	ERR696683_chr5
77785843	2	ERR696683_chr5
77785855	2	ERR696683_chr5
77786010	2	ERR696683_chr5
78459212	5	ERR696683_chr5
78488915	3	ERR696683_chr5
78969218	3	ERR696683_chr5
79728911	1	ERR696683_chr5
79732649	2	ERR696683_chr5
79732903	2	ERR696683_chr5
79733771	3	ERR696683_chr5
79734222	3	ERR696683_chr5
79789126	3	ERR696683_chr5
80055588	6	ERR696683_chr5
80055721	6	ERR696683_chr5
80072193	6	ERR696683_chr5
80299577	1	ERR696683_chr5
80300123	1	ERR696683_chr5
80300202	1	ERR696683_chr5
80300356	1	ERR696683_chr5
80300390	1	ERR696683_chr5
80300455	1	ERR696683_chr5
80320264	3	ERR696683_chr5
80321117	2	ERR696683_chr5
80359648	1	ERR696683_chr5
80359963	1	ERR696683_chr5
80437260	8	ERR696683_chr5
80438478	10	ERR696683_chr5
80438590	10	ERR696683_chr5
80440039	11	ERR696683_chr5
80445199	10	ERR696683_chr5
80449650	10	ERR696683_chr5
80451472	10	ERR696683_chr5
80519839	3	ERR696683_chr5
80559553	2	ERR696683_chr5
81183345	2	ERR696683_chr5
81266301	17	ERR696683_chr5
81335823	3	ERR696683_chr5
82058570	6	ERR696683_chr5
82253421	6	ERR696683_chr5
82276027	12	ERR696683_chr5
82276365	13	ERR696683_chr5
83537326	11	ERR696683_chr5
83537550	11	ERR696683_chr5
83538480	11	ERR696683_chr5
83538811	12	ERR696683_chr5
83539726	12	ERR696683_chr5
83539905	11	ERR696683_chr5
83541812	11	ERR696683_chr5
83579981	8	ERR696683_chr5
86283008	2	ERR696683_chr5
86287833	2	ERR696683_chr5
90642770	5	ERR696683_chr5
90647754	4	ERR696683_chr5
90683772	6	ERR696683_chr5
90683881	6	ERR696683_chr5
90692595	8	ERR696683_chr5
90692687	8	ERR696683_chr5
90694507	8	ERR696683_chr5
90725051	6	ERR696683_chr5
90725106	6	ERR696683_chr5
90725682	6	ERR696683_chr5
90728918	6	ERR696683_chr5
90745693	6	ERR696683_chr5
90756472	7	ERR696683_chr5
90756555	7	ERR696683_chr5
90811291	7	ERR696683_chr5
90823507	6	ERR696683_chr5
90855772	7	ERR696683_chr5
91153214	14	ERR696683_chr5
91373583	7	ERR696683_chr5
92890652	1	ERR696683_chr5
94386345	4	ERR696683_chr5
95755490	5	ERR696683_chr5
95783704	8	ERR696683_chr5
96397408	4	ERR696683_chr5
96743698	45	ERR696683_chr5
96750630	40	ERR696683_chr5
96776379	38	ERR696683_chr5
96783148	8	ERR696683_chr5
96788627	7	ERR696683_chr5
96790494	8	ERR696683_chr5
96790605	8	ERR696683_chr5
96792202	4	ERR696683_chr5
96793809	5	ERR696683_chr5
96803547	8	ERR696683_chr5
97167819	6	ERR696683_chr5
97177161	7	ERR696683_chr5
97177167	7	ERR696683_chr5
97177767	7	ERR696683_chr5
98026085	1	ERR696683_chr5
98213662	1	ERR696683_chr5
98680549	2	ERR696683_chr5
98681130	2	ERR696683_chr5
98899670	4	ERR696683_chr5
102257105	1	ERR696683_chr5
102291323	1	ERR696683_chr5
103028154	19	ERR696683_chr5
103555994	4	ERR696683_chr5
105099675	3	ERR696683_chr5
107725561	1	ERR696683_chr5
107726653	1	ERR696683_chr5
108798266	5	ERR696683_chr5
109356037	2	ERR696683_chr5
109378269	4	ERR696683_chr5
109378597	5	ERR696683_chr5
109383450	4	ERR696683_chr5
109845981	1	ERR696683_chr5
110948089	1	ERR696683_chr5
110948671	1	ERR696683_chr5
110948792	1	ERR696683_chr5
110948953	1	ERR696683_chr5
110948966	1	ERR696683_chr5
110949076	1	ERR696683_chr5
110949126	1	ERR696683_chr5
110949720	1	ERR696683_chr5
111111042	2	ERR696683_chr5
111121006	1	ERR696683_chr5
111343959	8	ERR696683_chr5
111376793	9	ERR696683_chr5
112209973	7	ERR696683_chr5
112886997	13	ERR696683_chr5
112892102	12	ERR696683_chr5
112892242	12	ERR696683_chr5
113013373	4	ERR696683_chr5
113049105	5	ERR696683_chr5
113104244	8	ERR696683_chr5
115126658	3	ERR696683_chr5
115126892	3	ERR696683_chr5
116000518	5	ERR696683_chr5
116001165	5	ERR696683_chr5
116003389	5	ERR696683_chr5
116005914	5	ERR696683_chr5
116005941	5	ERR696683_chr5
116010935	7	ERR696683_chr5
116015453	7	ERR696683_chr5
116029879	9	ERR696683_chr5
116052233	4	ERR696683_chr5
116091049	6	ERR696683_chr5
116092637	5	ERR696683_chr5
116092742	5	ERR696683_chr5
116217983	6	ERR696683_chr5
116491660	12	ERR696683_chr5
116491711	12	ERR696683_chr5
116502076	8	ERR696683_chr5
116716307	1	ERR696683_chr5
116716490	1	ERR696683_chr5
116716625	1	ERR696683_chr5
116716640	1	ERR696683_chr5
117778980	6	ERR696683_chr5
119127984	7	ERR696683_chr5
119149109	3	ERR696683_chr5
119475838	39	ERR696683_chr5
122425326	16	ERR696683_chr5
122443695	19	ERR696683_chr5
122795387	6	ERR696683_chr5
122802013	7	ERR696683_chr5
123346654	20	ERR696683_chr5
123401804	21	ERR696683_chr5
124641274	7	ERR696683_chr5
124648222	8	ERR696683_chr5
124649070	8	ERR696683_chr5
126570652	26	ERR696683_chr5
126636007	2	ERR696683_chr5
126810079	7	ERR696683_chr5
126836307	3	ERR696683_chr5
127533578	3	ERR696683_chr5
127551877	4	ERR696683_chr5
128110131	5	ERR696683_chr5
128134167	4	ERR696683_chr5
128278780	3	ERR696683_chr5
128287291	3	ERR696683_chr5
128300793	3	ERR696683_chr5
128303067	3	ERR696683_chr5
128349443	2	ERR696683_chr5
128966278	5	ERR696683_chr5
129527778	4	ERR696683_chr5
130185433	2	ERR696683_chr5
130990246	2	ERR696683_chr5
131430969	9	ERR696683_chr5
131472505	11	ERR696683_chr5
131647075	3	ERR696683_chr5
131672501	4	ERR696683_chr5
131731032	4	ERR696683_chr5
132334853	5	ERR696683_chr5
132340627	4	ERR696683_chr5
132460881	8	ERR696683_chr5
132703440	9	ERR696683_chr5
132711097	6	ERR696683_chr5
132734550	5	ERR696683_chr5
135842435	9	ERR696683_chr5
135940625	10	ERR696683_chr5
135941012	10	ERR696683_chr5
135941158	10	ERR696683_chr5
136047300	10	ERR696683_chr5
137906167	6	ERR696683_chr5
137908828	6	ERR696683_chr5
137921599	4	ERR696683_chr5
137923490	4	ERR696683_chr5
137923562	4	ERR696683_chr5
137946019	6	ERR696683_chr5
137960134	4	ERR696683_chr5
138140098	5	ERR696683_chr5
138140727	5	ERR696683_chr5
138150737	2	ERR696683_chr5
138372745	3	ERR696683_chr5
138419006	5	ERR696683_chr5
138427926	6	ERR696683_chr5
138428109	6	ERR696683_chr5
138556481	24	ERR696683_chr5
138566921	23	ERR696683_chr5
139121126	10	ERR696683_chr5
139437401	9	ERR696683_chr5
139478334	23	ERR696683_chr5
140361785	8	ERR696683_chr5
140365569	7	ERR696683_chr5
140560648	31	ERR696683_chr5
140561643	31	ERR696683_chr5
140644233	27	ERR696683_chr5
140668682	18	ERR696683_chr5
140795280	22	ERR696683_chr5
140802149	17	ERR696683_chr5
140802307	16	ERR696683_chr5
140802516	15	ERR696683_chr5
140803473	15	ERR696683_chr5
140807737	15	ERR696683_chr5
140848579	18	ERR696683_chr5
140876207	25	ERR696683_chr5
141101254	14	ERR696683_chr5
141174000	5	ERR696683_chr5
141174083	5	ERR696683_chr5
141174275	5	ERR696683_chr5
141178745	8	ERR696683_chr5
141178764	8	ERR696683_chr5
141178947	8	ERR696683_chr5
141180333	7	ERR696683_chr5
141188034	11	ERR696683_chr5
141188558	11	ERR696683_chr5
141188594	11	ERR696683_chr5
141193095	7	ERR696683_chr5
141193190	7	ERR696683_chr5
141211194	6	ERR696683_chr5
141235258	7	ERR696683_chr5
141235300	7	ERR696683_chr5
141303190	3	ERR696683_chr5
141331138	7	ERR696683_chr5
141344493	7	ERR696683_chr5
141350817	11	ERR696683_chr5
141356907	10	ERR696683_chr5
141371030	13	ERR696683_chr5
141371561	13	ERR696683_chr5
141404029	19	ERR696683_chr5
141405253	19	ERR696683_chr5
141413440	22	ERR696683_chr5
141418063	27	ERR696683_chr5
141419072	24	ERR696683_chr5
141422889	25	ERR696683_chr5
141478231	31	ERR696683_chr5
141576210	6	ERR696683_chr5
141634927	18	ERR696683_chr5
141636721	22	ERR696683_chr5
141669840	9	ERR696683_chr5
141680082	6	ERR696683_chr5
141957660	7	ERR696683_chr5
141984946	9	ERR696683_chr5
142153497	4	ERR696683_chr5
143134121	9	ERR696683_chr5
145817848	6	ERR696683_chr5
146060084	5	ERR696683_chr5
146143349	30	ERR696683_chr5
146143542	29	ERR696683_chr5
146164409	25	ERR696683_chr5
146458877	7	ERR696683_chr5
146510465	11	ERR696683_chr5
147278275	5	ERR696683_chr5
147397625	9	ERR696683_chr5
147591690	10	ERR696683_chr5
148101392	9	ERR696683_chr5
148107114	7	ERR696683_chr5
148108804	7	ERR696683_chr5
148118369	6	ERR696683_chr5
148118456	6	ERR696683_chr5
148125553	6	ERR696683_chr5
148125664	7	ERR696683_chr5
148131213	3	ERR696683_chr5
148131303	3	ERR696683_chr5
148137035	3	ERR696683_chr5
148213934	4	ERR696683_chr5
148314263	17	ERR696683_chr5
148402169	13	ERR696683_chr5
148409235	9	ERR696683_chr5
148425557	7	ERR696683_chr5
148439803	7	ERR696683_chr5
148476669	7	ERR696683_chr5
148476770	7	ERR696683_chr5
149028145	13	ERR696683_chr5
149028330	13	ERR696683_chr5
149062150	23	ERR696683_chr5
149368339	9	ERR696683_chr5
149618123	4	ERR696683_chr5
149981314	4	ERR696683_chr5
149995369	6	ERR696683_chr5
150051660	10	ERR696683_chr5
150051696	10	ERR696683_chr5
150056196	10	ERR696683_chr5
150133509	7	ERR696683_chr5
150135511	6	ERR696683_chr5
151105226	8	ERR696683_chr5
151109829	8	ERR696683_chr5
151131196	12	ERR696683_chr5
151476546	7	ERR696683_chr5
151510091	3	ERR696683_chr5
151543844	1	ERR696683_chr5
151563358	1	ERR696683_chr5
151566875	1	ERR696683_chr5
151567405	1	ERR696683_chr5
151568976	2	ERR696683_chr5
